Mixture	colonocyte	plasma	AOM_tumor	squamous	CAF	Paneth-like	endothelial	macrophage	T_cell	neutrophil	B cell	erythroid	goblet	stem	enteroendocrine	P-value	Correlation	RMSE
P17508_121	0.647680153740451	0.00771147197219101	0.0180851537103049	0	0	0	0	0.000270122785431531	0	0	0	0	0.119870608625174	0.205913236063723	0.000469253102724152	0	0.609255910519328	0.858835296917671
P17508_130	0.782212319989306	0.00340471639026792	0.0356748274942477	0	0	0	0	0	0.000850236399191957	0	0	0	0.0547264508554287	0.122029638625578	0.00110181024598023	0	0.637059971720546	0.839938904445058
P17508_133	0.84779916330204	0.00304873026938457	0.0195218059461342	0	0	0.000483675260843271	0	0	0.00142934276775239	0	0	0	0.0384005163005769	0.0892267672163817	8.99989368867561e-05	0	0.618097942686781	0.840462365515595
P17508_158	0.826532598631246	0.00293789736315492	0.0220766969473424	0	0	0	0	0	0	0	0	0	0.0707288784044272	0.074972856184339	0.00275107246949092	0	0.746417625718185	0.791142921218465
P17508_109	0.493793475756996	0.00153564945242077	0.316634847543967	0.0606685544955403	0.0114712999516898	0.0470810464321118	0	0	0	0	0.0188288649396912	0	0	0.049986261427583	0	0	0.826257562380788	0.843285428058872
P17508_113	0.546920483912535	0.00708658527144472	0.112426644039468	0	0.00564508434189285	0.0189965291049041	0	0.0088571396847644	0	0	0.155414162966192	0	0.0283216284389084	0.116331742239891	0	0	0.825474184395714	0.81855089311377
P17508_117	0.727497979967477	0.0169096366932113	0.1299799778937	0	0.0170169587570491	0.0237438615472994	0	0.00739250778627285	0	0.00366561041616387	0.000205822803865222	0	0.0353979338879948	0.038189710246967	0	0	0.753301187380236	0.808002480862566
P17508_126	0.415686554135864	0.0038404450996926	0.401333335227944	0.00771935554282207	0.0118225097400129	0.0383571341559441	0	0	0	0.000673016269917213	0	0	0.0258702327976712	0.0946974170301322	0	0	0.787845912504366	0.865595279862835
P17508_156	0.830296453670498	0.00664407194319111	0.0960218924440353	0	0.00698491346470265	0.036009622322138	0.000108313914089894	0.00316801246517417	0	0.000132703317680699	0	0	0.0206340164584897	0	0	0	0.780921433970346	0.782209908550004
P17508_140	0.88025483333025	0.00341405688848337	0.00567290395546326	0	0	0	0	0	0	0	0	0	0.101294118169193	0.00689938957659673	0.00246469808001366	0	0.726988274477281	0.788628013909814
P17508_159	0.853760705673527	0.000821057194438851	0.0253886011465001	0	0	0	0	0	0.00130872119887163	0	0	0	0.0253803094401515	0.0929371952922064	0.000403410054304104	0	0.554842673777133	0.864254238121836
P17508_160	0.910630751376952	0.00089434009043832	0.0325968331913129	0	0	0	0	0	0.000107273291056089	0	0	0	0.0385580132764955	0.0169164433629415	0.000296345410803696	0	0.594606259862822	0.844051007461917
P17508_168	0.651205019460242	0.00211719637817312	0.0351461301447445	0	0	0	0	0	0	0	0	0	0.123436848322704	0.185764950526096	0.00232985516804102	0	0.590386363971019	0.865027965305641
P17508_177	0.780841232470477	0.000916174330171798	0.0406375246119124	0	0	0	0	0	7.94052096096621e-05	0	0	0	0.141426099968232	0.0342830009056816	0.00181656250391539	0	0.646120419673451	0.831129595798019
P17508_104	0.759615376288464	0.000830131096654928	0.0436455448900501	0	0	0.0130697377973104	0	0	0	0	0	0	0.129408949579675	0.0533922247760106	3.80355718346452e-05	0	0.664608925886196	0.827368588049749
P17508_138	0.962075726089413	0.000449003224701812	0.00982482644660182	0	0	0.00751837084788513	0	0	0	0	0	0	0.020037671507094	0	9.44018843039267e-05	0	0.826756834033284	0.736169310263457
P17508_148	0.72472300031258	0.00450924074384102	0.158689366611606	0.000240778387995131	0.00367128959629455	0.0321577312878885	0	0	0	0.00108430823520336	0	0	0.0749242848245908	0	0	0	0.776321789700629	0.799995809434979
P17508_171	0.937738518456169	0.00355052125311087	0.0137110817940695	0	0	0.000248984972293372	0	0	0.000454201378000069	0	0	0	0.0440915266305811	0	0.000205165515775787	0	0.642901069778621	0.82109442387143
P17508_176	0.853437581401378	0.00285123535579387	0.0789019361165583	0	0	0.007145010008548	0	0	0	0	0	0	0.0354521445021718	0.0218305062080686	0.000381586407481722	0	0.597798736472575	0.848849421149642
P17508_107	0.331696583733787	0.00969898201692759	0.424158299186217	0.00317877523502221	0.0165201200258313	0.0460608244547882	0	0.00360429099260454	0	0.0016888737669953	0	0	0.0514084656954669	0.11198478489236	0	0	0.784021514467802	0.877579325352761
P17508_118	0.395969565942684	0.00648368740264074	0.409083638235106	0.00687601937255957	0.0260211438702602	0.0660783762844872	0	0.0148616362548543	0	0.00248155374127881	0.0028212412290755	0	0	0.0693231376670541	0	0	0.79136456489042	0.870082024739747
P17508_128	0.650315203695142	0.0145430274959408	0.237813993277907	0.00106028675553744	0.00777368734857214	0.0124857728113043	0	0	0	0	0.00500637406529094	0	0.071001654550306	0	0	0	0.725297363873866	0.830294028075039
P17508_137	0.327365293607049	0.00346012937402915	0.496915894991979	0.00590487517663959	0.0206079577760521	0.0578539141454834	0	0.00996429740509934	0	0.00418729712004052	0	0	0	0.0737403404036282	0	0	0.745278771520701	0.893535679877555
P17508_127	0.881199744920412	0.00186701122449588	0.0344646215802775	0	0	0	0	0	0.00123637636297598	0	0	0	0.0501670036266468	0.0298078778796974	0.00125736440549417	0	0.690497090852553	0.807991919274308
P17508_134	0.791207236986016	0.00434667291873347	0.022873148709866	0	0	0	0	0	0	0	0	0	0.0808608277803912	0.100659701981551	5.24116234422083e-05	0	0.765364670765554	0.788178665251181
P17508_151	0.722144059964901	0.00190405119941708	0.0368703672334566	0	0	0	0	0	0	0	0	0	0.128507358912231	0.109893414354159	0.000680748335835333	0	0.79643471869228	0.783077940324032
P17508_165	0.691962152774411	0.00138644646387413	0.0235365242574399	0	0	0	0	0	0	0	0	0	0.146321765306478	0.135409670398069	0.00138344079972729	0	0.764718295357234	0.797116865264902
P17508_173	0.815953558308721	0.00149246093817013	0.0330246310750383	0	0	0	0	0	0	0	0	0	0.134259239289234	0.0146291245017532	0.000640985887083139	0	0.780634002601134	0.773086022340364
P17508_101	0.911196322677586	0.0053565647043591	0.0304691816258716	0	0	0.000261836673368646	0	0	9.32903064484506e-05	0	0	0	0.0525267869468179	0	9.6017065548656e-05	0	0.682280392492717	0.807385643741774
P17508_110	0.91106947708966	0.00181525892983676	0.0336468128354984	0	0	0.0022701309613263	0	0	0	0	0	0	0.0510818772624721	0	0.000116442921206855	0	0.782475583727919	0.764393383678148
